Frame,Model,Class,Confidence,X1,Y1,X2,Y2
0,YOLOv10,person,0.93,74,231,494,479
0,YOLOv11,person,0.92,77,231,494,479
1,YOLOv10,person,0.93,68,230,502,479
1,YOLOv11,person,0.92,72,229,501,479
2,YOLOv10,person,0.93,68,230,501,479
2,YOLOv11,person,0.93,72,229,501,479
3,YOLOv10,person,0.94,68,230,501,479
3,YOLOv11,person,0.92,72,229,501,479
4,YOLOv10,person,0.94,68,230,501,479
4,YOLOv11,person,0.92,72,229,501,479
5,YOLOv10,person,0.93,69,230,501,479
5,YOLOv11,person,0.93,72,229,501,479
6,YOLOv10,person,0.94,69,230,501,479
6,YOLOv11,person,0.93,72,229,501,479
7,YOLOv10,person,0.94,69,230,501,479
7,YOLOv11,person,0.93,72,229,501,479
8,YOLOv10,person,0.93,69,230,501,479
8,YOLOv11,person,0.93,72,229,500,479
9,YOLOv10,person,0.94,68,230,501,479
9,YOLOv11,person,0.93,72,229,501,479
10,YOLOv10,person,0.94,69,230,501,479
10,YOLOv11,person,0.93,72,229,500,479
11,YOLOv10,person,0.94,69,230,501,479
11,YOLOv11,person,0.93,72,229,500,479
12,YOLOv10,person,0.94,69,230,501,479
12,YOLOv11,person,0.93,73,230,500,479
13,YOLOv10,person,0.94,69,229,502,479
13,YOLOv11,person,0.93,72,229,501,479
14,YOLOv10,person,0.94,69,229,502,479
14,YOLOv11,person,0.93,72,229,501,479
15,YOLOv10,person,0.94,69,230,501,479
15,YOLOv11,person,0.93,73,230,500,479
16,YOLOv10,person,0.93,69,230,500,479
16,YOLOv11,person,0.93,73,230,500,479
17,YOLOv10,person,0.93,69,230,500,479
17,YOLOv11,person,0.93,73,230,500,479
18,YOLOv10,person,0.94,68,230,501,479
18,YOLOv11,person,0.93,72,229,501,479
19,YOLOv10,person,0.94,69,230,501,479
19,YOLOv11,person,0.93,72,230,501,479
20,YOLOv10,person,0.93,69,230,501,479
20,YOLOv11,person,0.93,72,230,501,479
21,YOLOv10,person,0.93,69,230,501,479
21,YOLOv11,person,0.93,72,230,501,479
22,YOLOv10,person,0.94,69,230,500,479
22,YOLOv11,person,0.92,73,230,502,479
23,YOLOv10,person,0.94,69,230,500,479
23,YOLOv11,person,0.92,73,230,502,479
24,YOLOv10,person,0.94,69,231,500,479
24,YOLOv11,person,0.92,73,230,500,479
25,YOLOv10,person,0.93,69,230,500,479
25,YOLOv11,person,0.93,73,230,500,479
26,YOLOv10,person,0.93,69,230,500,479
26,YOLOv11,person,0.93,73,230,500,479
27,YOLOv10,person,0.93,69,230,500,479
27,YOLOv11,person,0.92,73,230,500,479
28,YOLOv10,person,0.93,69,231,500,479
28,YOLOv11,person,0.92,73,230,498,479
29,YOLOv10,person,0.94,69,230,500,479
29,YOLOv11,person,0.93,72,230,500,479
30,YOLOv10,person,0.93,69,230,500,479
30,YOLOv11,person,0.92,72,230,500,479
31,YOLOv10,person,0.93,69,230,500,479
31,YOLOv11,person,0.92,72,230,500,479
32,YOLOv10,person,0.93,69,230,500,479
32,YOLOv11,person,0.92,73,230,500,479
33,YOLOv10,person,0.94,69,230,500,479
33,YOLOv11,person,0.93,73,230,500,479
34,YOLOv10,person,0.94,69,230,500,479
34,YOLOv11,person,0.93,73,230,500,479
35,YOLOv10,person,0.93,69,230,500,479
35,YOLOv11,person,0.93,73,230,500,479
36,YOLOv10,person,0.93,69,230,500,479
36,YOLOv11,person,0.93,73,230,500,479
37,YOLOv10,person,0.93,69,230,500,479
37,YOLOv11,person,0.93,73,230,500,479
38,YOLOv10,person,0.93,69,230,500,479
38,YOLOv11,person,0.93,73,230,500,479
39,YOLOv10,person,0.93,69,230,500,479
39,YOLOv11,person,0.93,73,230,500,479
40,YOLOv10,person,0.93,69,231,500,479
40,YOLOv11,person,0.93,73,230,501,479
41,YOLOv10,person,0.93,69,230,500,479
41,YOLOv11,person,0.92,73,230,500,479
42,YOLOv10,person,0.93,69,231,500,479
42,YOLOv11,person,0.92,73,230,500,479
43,YOLOv10,person,0.93,69,231,502,479
43,YOLOv11,person,0.93,73,230,501,479
44,YOLOv10,person,0.93,69,231,502,479
44,YOLOv11,person,0.93,73,230,501,479
45,YOLOv10,person,0.93,69,231,500,479
45,YOLOv11,person,0.93,73,230,500,479
46,YOLOv10,person,0.91,69,232,501,479
46,YOLOv11,person,0.92,73,231,500,479
47,YOLOv10,person,0.91,69,231,500,479
47,YOLOv11,person,0.93,74,231,500,479
48,YOLOv10,person,0.93,70,232,498,479
48,YOLOv11,person,0.92,74,232,498,479
49,YOLOv10,person,0.93,68,230,502,479
49,YOLOv11,person,0.92,70,230,502,479
50,YOLOv10,person,0.91,69,232,498,479
50,YOLOv11,person,0.92,73,232,497,479
51,YOLOv10,person,0.91,66,230,502,479
51,YOLOv11,person,0.94,70,230,502,479
52,YOLOv10,person,0.9,69,231,500,479
52,YOLOv11,person,0.93,73,230,500,479
53,YOLOv10,person,0.91,70,232,501,479
53,YOLOv11,person,0.92,74,232,502,479
54,YOLOv10,person,0.91,70,232,501,479
54,YOLOv11,person,0.92,74,232,502,479
55,YOLOv10,person,0.93,68,229,502,479
55,YOLOv11,person,0.93,72,229,502,479
56,YOLOv10,person,0.91,68,230,502,479
56,YOLOv11,person,0.93,72,230,501,479
57,YOLOv10,person,0.94,69,230,502,479
57,YOLOv11,person,0.94,72,230,501,479
58,YOLOv10,person,0.9,69,230,502,479
58,YOLOv11,person,0.93,73,230,501,479
59,YOLOv10,person,0.93,69,231,501,479
59,YOLOv11,person,0.92,73,230,500,479
60,YOLOv10,person,0.92,70,232,500,479
60,YOLOv11,person,0.93,76,231,500,479
61,YOLOv10,person,0.92,68,229,504,479
61,YOLOv11,person,0.93,70,229,502,479
62,YOLOv10,person,0.92,68,228,504,479
62,YOLOv11,person,0.93,70,228,502,479
63,YOLOv10,person,0.92,72,232,500,479
63,YOLOv11,person,0.93,76,232,498,479
64,YOLOv10,person,0.92,68,229,504,479
64,YOLOv11,person,0.93,70,229,504,479
65,YOLOv10,person,0.91,68,230,504,479
65,YOLOv11,person,0.93,72,229,501,479
66,YOLOv10,person,0.9,70,231,501,479
66,YOLOv11,person,0.92,73,230,501,479
67,YOLOv10,person,0.91,70,232,501,479
67,YOLOv11,person,0.92,74,232,501,479
68,YOLOv10,person,0.91,70,232,501,479
68,YOLOv11,person,0.92,74,232,501,479
69,YOLOv10,person,0.93,66,228,504,479
69,YOLOv11,person,0.94,70,228,502,479
70,YOLOv10,person,0.89,73,232,498,479
70,YOLOv11,person,0.92,76,232,500,479
71,YOLOv10,person,0.9,73,233,500,479
71,YOLOv11,person,0.93,74,233,500,479
72,YOLOv10,person,0.91,65,227,506,479
72,YOLOv11,person,0.94,68,226,505,479
73,YOLOv10,person,0.91,74,234,494,479
73,YOLOv11,person,0.92,78,233,494,479
74,YOLOv10,person,0.92,66,230,502,479
74,YOLOv11,person,0.93,69,229,502,479
75,YOLOv10,person,0.88,74,232,498,479
75,YOLOv11,person,0.92,77,232,498,479
76,YOLOv10,person,0.9,73,233,497,479
76,YOLOv11,person,0.91,76,233,497,479
77,YOLOv10,person,0.91,69,229,502,479
77,YOLOv11,person,0.93,73,228,501,479
78,YOLOv10,person,0.91,76,233,494,479
78,YOLOv11,person,0.92,77,233,494,479
79,YOLOv10,person,0.92,69,230,498,479
79,YOLOv11,person,0.93,73,229,500,479
80,YOLOv10,person,0.92,69,230,498,479
80,YOLOv11,person,0.93,73,229,500,479
81,YOLOv10,person,0.92,74,232,492,479
81,YOLOv11,person,0.92,77,232,492,479
82,YOLOv10,person,0.92,70,230,497,479
82,YOLOv11,person,0.93,74,230,497,479
83,YOLOv10,person,0.92,69,230,500,479
83,YOLOv11,person,0.93,73,229,498,479
84,YOLOv10,person,0.87,76,231,494,479
84,YOLOv11,person,0.92,78,231,494,479
85,YOLOv10,person,0.92,73,231,494,479
85,YOLOv11,person,0.92,76,231,494,479
86,YOLOv10,person,0.91,73,232,494,479
86,YOLOv11,person,0.91,77,231,494,479
87,YOLOv10,person,0.91,74,231,494,479
87,YOLOv11,person,0.91,77,230,493,479
88,YOLOv10,person,0.92,73,231,494,479
88,YOLOv11,person,0.92,77,231,494,479
89,YOLOv10,person,0.91,73,231,494,479
89,YOLOv11,person,0.92,76,231,494,479
90,YOLOv10,person,0.92,72,231,494,479
90,YOLOv11,person,0.92,76,231,493,479
91,YOLOv10,person,0.93,72,230,496,479
91,YOLOv11,person,0.92,76,230,496,479
92,YOLOv10,person,0.93,72,230,496,479
92,YOLOv11,person,0.92,76,230,496,479
93,YOLOv10,person,0.92,70,229,497,479
93,YOLOv11,person,0.93,74,229,496,479
94,YOLOv10,person,0.93,70,229,498,479
94,YOLOv11,person,0.92,74,228,498,479
95,YOLOv10,person,0.93,68,228,500,479
95,YOLOv11,person,0.92,73,227,500,479
96,YOLOv10,person,0.94,68,228,501,479
96,YOLOv11,person,0.93,72,227,500,479
97,YOLOv10,person,0.94,68,227,501,479
97,YOLOv11,person,0.92,72,227,500,479
98,YOLOv10,person,0.94,69,227,501,479
98,YOLOv11,person,0.93,72,227,501,479
99,YOLOv10,person,0.93,68,227,502,479
99,YOLOv11,person,0.93,70,226,502,479
100,YOLOv10,person,0.94,68,227,504,479
100,YOLOv11,person,0.93,70,226,502,479
101,YOLOv10,person,0.94,68,227,504,479
101,YOLOv11,person,0.93,70,226,502,479
102,YOLOv10,person,0.94,66,227,504,479
102,YOLOv11,person,0.94,69,226,502,479
